Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,215.7103,216.4261,1,1,0.7062,,16,5,165,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,216.4264,217.0592,3,1,0.6316,,16,6,166,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,217.0594,217.5269,2,1,0.4651,,16,7,167,7,1,8,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,217.5272,217.9759,4,1,0.4471,,16,8,168,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,217.9761,218.7101,1,1,0.7319,,16,9,169,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,218.7104,219.3766,2,1,0.6631,,17,0,170,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,219.3768,219.91,3,1,0.5249,,17,1,171,1,1,2,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,219.9102,220.5599,2,1,0.6432,,17,2,172,2,1,3,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,220.5601,221.1926,3,1,0.6318,,17,3,173,3,1,4,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,221.1929,221.7934,1,1,0.5886,,17,4,174,4,1,5,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,221.7935,222.3091,1,1,0.5152,,17,5,175,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,222.3094,223.0435,3,1,0.732,,17,6,176,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,223.0437,223.4925,2,1,0.4484,,17,7,177,7,1,8,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,223.493,224.11,4,1,0.615,,17,8,178,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,224.1103,224.6591,1,1,0.5412,,17,9,179,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,224.6593,225.2097,2,1,0.5469,,18,0,180,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,225.21,225.6758,3,1,0.4654,,18,1,181,1,1,2,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,225.676,226.1594,2,1,0.483,,18,2,182,2,1,3,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,226.1597,226.7434,3,1,0.5807,,18,3,183,3,1,4,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,226.7436,227.3759,1,1,0.6306,,18,4,184,4,1,5,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,227.3761,227.9257,1,1,0.5487,,18,5,185,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,227.926,228.3933,3,1,0.4652,,18,6,186,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,228.3936,228.7429,2,1,0.3477,,18,7,187,7,1,8,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,228.7431,229.3923,4,1,0.6486,,18,8,188,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,229.3927,229.8933,1,1,0.4987,,18,9,189,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,229.8936,230.4102,2,1,0.5086,,19,0,190,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,230.4105,230.9755,3,1,0.5571,,19,1,191,1,1,2,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,230.9758,231.5102,2,1,0.5267,,19,2,192,2,1,3,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,231.5104,232.4093,3,1,0.898,,19,3,193,3,1,4,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,232.4097,232.9761,1,1,0.5644,,19,4,194,4,1,5,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,232.9763,233.5256,1,1,0.5421,,19,5,195,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,233.5258,234.3768,3,1,0.8482,,19,6,196,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,234.3772,234.6761,2,1,0.2965,,19,7,197,7,1,8,M,,2,,,,,,,
